sample,fastq_1,fastq_2,strandedness
SRX660425+HFF_mock_Total-RNA_1,fastq/SRX660425_SRR1523653_1.fastq.gz,fastq/SRX660425_SRR1523653_2.fastq.gz,reverse
SRX660426+HFF_2hpi_Total-RNA_1,fastq/SRX660426_SRR1523654_1.fastq.gz,fastq/SRX660426_SRR1523654_2.fastq.gz,reverse
SRX660427+HFF_4hpi_Total-RNA_1,fastq/SRX660427_SRR1523655_1.fastq.gz,fastq/SRX660427_SRR1523655_2.fastq.gz,reverse
SRX660428+HFF_6hpi_Total-RNA_1,fastq/SRX660428_SRR1523656_1.fastq.gz,fastq/SRX660428_SRR1523656_2.fastq.gz,reverse
SRX660429+HFF_8hpi_Total-RNA_1,fastq/SRX660429_SRR1523657_1.fastq.gz,fastq/SRX660429_SRR1523657_2.fastq.gz,reverse
SRX660430+HFF_mock_4sU-RNA_1,fastq/SRX660430_SRR1523658_1.fastq.gz,fastq/SRX660430_SRR1523658_2.fastq.gz,reverse
SRX660431+HFF_0-1hpi_4sU-RNA_1,fastq/SRX660431_SRR1523659_1.fastq.gz,fastq/SRX660431_SRR1523659_2.fastq.gz,reverse
SRX660432+HFF_1-2hpi_4sU-RNA_1,fastq/SRX660432_SRR1523660_1.fastq.gz,fastq/SRX660432_SRR1523660_2.fastq.gz,reverse
SRX660433+HFF_2-3hpi_4sU-RNA_1,fastq/SRX660433_SRR1523661_1.fastq.gz,fastq/SRX660433_SRR1523661_2.fastq.gz,reverse
SRX660434+HFF_3-4hpi_4sU-RNA_1,fastq/SRX660434_SRR1523662_1.fastq.gz,fastq/SRX660434_SRR1523662_2.fastq.gz,reverse
SRX660435+HFF_4-5hpi_4sU-RNA_1,fastq/SRX660435_SRR1523663_1.fastq.gz,fastq/SRX660435_SRR1523663_2.fastq.gz,reverse
SRX660436+HFF_5-6hpi_4sU-RNA_1,fastq/SRX660436_SRR1523664_1.fastq.gz,fastq/SRX660436_SRR1523664_2.fastq.gz,reverse
SRX660437+HFF_6-7hpi_4sU-RNA_1,fastq/SRX660437_SRR1523665_1.fastq.gz,fastq/SRX660437_SRR1523665_2.fastq.gz,reverse
SRX660438+HFF_7-8hpi_4sU-RNA_1,fastq/SRX660438_SRR1523666_1.fastq.gz,fastq/SRX660438_SRR1523666_2.fastq.gz,reverse
SRX660439+HFF_mock_Total-RNA_2,fastq/SRX660439_SRR1523667_1.fastq.gz,fastq/SRX660439_SRR1523667_2.fastq.gz,reverse
SRX660440+HFF_2hpi_Total-RNA_2,fastq/SRX660440_SRR1523668_1.fastq.gz,fastq/SRX660440_SRR1523668_2.fastq.gz,reverse
SRX660441+HFF_4hpi_Total-RNA_2,fastq/SRX660441_SRR1523669_1.fastq.gz,fastq/SRX660441_SRR1523669_2.fastq.gz,reverse
SRX660442+HFF_6hpi_Total-RNA_2,fastq/SRX660442_SRR1523670_1.fastq.gz,fastq/SRX660442_SRR1523670_2.fastq.gz,reverse
SRX660443+HFF_8hpi_Total-RNA_2,fastq/SRX660443_SRR1523671_1.fastq.gz,fastq/SRX660443_SRR1523671_2.fastq.gz,reverse
SRX660444+HFF_mock_4sU-RNA_2,fastq/SRX660444_SRR1523672_1.fastq.gz,fastq/SRX660444_SRR1523672_2.fastq.gz,reverse
SRX660445+HFF_0-1hpi_4sU-RNA_2,fastq/SRX660445_SRR1523673_1.fastq.gz,fastq/SRX660445_SRR1523673_2.fastq.gz,reverse
SRX660446+HFF_1-2hpi_4sU-RNA_2,fastq/SRX660446_SRR1523674_1.fastq.gz,fastq/SRX660446_SRR1523674_2.fastq.gz,reverse
SRX660447+HFF_2-3hpi_4sU-RNA_2,fastq/SRX660447_SRR1523675_1.fastq.gz,fastq/SRX660447_SRR1523675_2.fastq.gz,reverse
SRX660448+HFF_3-4hpi_4sU-RNA_2,fastq/SRX660448_SRR1523676_1.fastq.gz,fastq/SRX660448_SRR1523676_2.fastq.gz,reverse
SRX660449+HFF_4-5hpi_4sU-RNA_2,fastq/SRX660449_SRR1523677_1.fastq.gz,fastq/SRX660449_SRR1523677_2.fastq.gz,reverse
SRX660450+HFF_5-6hpi_4sU-RNA_2,fastq/SRX660450_SRR1523678_1.fastq.gz,fastq/SRX660450_SRR1523678_2.fastq.gz,reverse
SRX660451+HFF_6-7hpi_4sU-RNA_2,fastq/SRX660451_SRR1523679_1.fastq.gz,fastq/SRX660451_SRR1523679_2.fastq.gz,reverse
SRX660452+HFF_7-8hpi_4sU-RNA_2,fastq/SRX660452_SRR1523680_1.fastq.gz,fastq/SRX660452_SRR1523680_2.fastq.gz,reverse
