"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX660425","results/fastq/SRX660425_SRR1523653_1.fastq.gz","results/fastq/SRX660425_SRR1523653_2.fastq.gz","SRR1523653","SRX660425","SAMN02935349","SRS665424","PRJNA256013","SRP044766","SRA176431","GSM1444166_r1","GSM1444166","GSM1444166","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","5099105392","25243096","9606","Homo sapiens","Total RNA - mock Rep 1","Illumina HiSeq 2500 sequencing: GSM1444166: Total RNA - mock Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","Total RNA - mock Rep 1","2ce7db76c25f49a999b730ee0e40e9f8;5aa466568c4df14ba57617fce57752ce","2040883363;2035759900","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1523653/SRR1523653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1523653/SRR1523653_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1523653/SRR1523653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1523653/SRR1523653_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/003/SRR1523653/SRR1523653_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/003/SRR1523653/SRR1523653_2.fastq.gz"
"SRX660426","results/fastq/SRX660426_SRR1523654_1.fastq.gz","results/fastq/SRX660426_SRR1523654_2.fastq.gz","SRR1523654","SRX660426","SAMN02935350","SRS665425","PRJNA256013","SRP044766","SRA176431","GSM1444167_r1","GSM1444167","GSM1444167","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","8163656886","40414143","9606","Homo sapiens","Total RNA - 2hpi Rep 1","Illumina HiSeq 2500 sequencing: GSM1444167: Total RNA - 2hpi Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","Total RNA - 2hpi Rep 1","245765be7ace0effc7ece500c911687b;48662c02077a27598b81f10fce47712b","3237779492;3233968055","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1523654/SRR1523654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1523654/SRR1523654_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1523654/SRR1523654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1523654/SRR1523654_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/004/SRR1523654/SRR1523654_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/004/SRR1523654/SRR1523654_2.fastq.gz"
"SRX660427","results/fastq/SRX660427_SRR1523655_1.fastq.gz","results/fastq/SRX660427_SRR1523655_2.fastq.gz","SRR1523655","SRX660427","SAMN02935351","SRS665426","PRJNA256013","SRP044766","SRA176431","GSM1444168_r1","GSM1444168","GSM1444168","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","8738725030","43261015","9606","Homo sapiens","Total RNA - 4hpi Rep 1","Illumina HiSeq 2500 sequencing: GSM1444168: Total RNA - 4hpi Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","Total RNA - 4hpi Rep 1","56317a399fe03b6214442349380cda3c;73ff5d3ec15e27aa02fe66403c4963c9","3370526959;3369408476","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1523655/SRR1523655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1523655/SRR1523655_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1523655/SRR1523655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1523655/SRR1523655_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/005/SRR1523655/SRR1523655_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/005/SRR1523655/SRR1523655_2.fastq.gz"
"SRX660428","results/fastq/SRX660428_SRR1523656_1.fastq.gz","results/fastq/SRX660428_SRR1523656_2.fastq.gz","SRR1523656","SRX660428","SAMN02935352","SRS665427","PRJNA256013","SRP044766","SRA176431","GSM1444169_r1","GSM1444169","GSM1444169","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","6129725350","30345175","9606","Homo sapiens","Total RNA - 6hpi Rep 1","Illumina HiSeq 2500 sequencing: GSM1444169: Total RNA - 6hpi Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","Total RNA - 6hpi Rep 1","320578bd408602b115d65fd06b6eb568;58155a2edff1964a92b0efe25615cbc8","2349484825;2350438242","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1523656/SRR1523656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1523656/SRR1523656_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1523656/SRR1523656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1523656/SRR1523656_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/006/SRR1523656/SRR1523656_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/006/SRR1523656/SRR1523656_2.fastq.gz"
"SRX660429","results/fastq/SRX660429_SRR1523657_1.fastq.gz","results/fastq/SRX660429_SRR1523657_2.fastq.gz","SRR1523657","SRX660429","SAMN02935353","SRS665428","PRJNA256013","SRP044766","SRA176431","GSM1444170_r1","GSM1444170","GSM1444170","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","7499139506","37124453","9606","Homo sapiens","Total RNA - 8hpi Rep 1","Illumina HiSeq 2500 sequencing: GSM1444170: Total RNA - 8hpi Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","Total RNA - 8hpi Rep 1","8a2d083abafb2e76ca09f842fdff1c38;6ff17f5cdc3dc0c124c98b7ce1b8685c","2780427560;2784198004","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1523657/SRR1523657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1523657/SRR1523657_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1523657/SRR1523657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1523657/SRR1523657_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/007/SRR1523657/SRR1523657_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/007/SRR1523657/SRR1523657_2.fastq.gz"
"SRX660430","results/fastq/SRX660430_SRR1523658_1.fastq.gz","results/fastq/SRX660430_SRR1523658_2.fastq.gz","SRR1523658","SRX660430","SAMN02935354","SRS665429","PRJNA256013","SRP044766","SRA176431","GSM1444171_r1","GSM1444171","GSM1444171","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","8877226734","43946667","9606","Homo sapiens","4sU-RNA - mock Rep 1","Illumina HiSeq 2500 sequencing: GSM1444171: 4sU-RNA - mock Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","4sU-RNA - mock Rep 1","bed9058dc69a5af9598a388117514921;684555d5ad21f16bfa4b7164bb45310b","3453444276;3454967012","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1523658/SRR1523658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1523658/SRR1523658_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1523658/SRR1523658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1523658/SRR1523658_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/008/SRR1523658/SRR1523658_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/008/SRR1523658/SRR1523658_2.fastq.gz"
"SRX660431","results/fastq/SRX660431_SRR1523659_1.fastq.gz","results/fastq/SRX660431_SRR1523659_2.fastq.gz","SRR1523659","SRX660431","SAMN02935355","SRS665430","PRJNA256013","SRP044766","SRA176431","GSM1444172_r1","GSM1444172","GSM1444172","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","7583501978","37542089","9606","Homo sapiens","4sU-RNA - 0-1 hpi Rep 1","Illumina HiSeq 2500 sequencing: GSM1444172: 4sU-RNA - 0-1 hpi Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","4sU-RNA - 0-1 hpi Rep 1","cd385ee11ed31d90d9d776a275348037;042027efb5fa738d14a8d022c6f7e3d8","2917834045;2920613035","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1523659/SRR1523659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1523659/SRR1523659_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1523659/SRR1523659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1523659/SRR1523659_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/009/SRR1523659/SRR1523659_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/009/SRR1523659/SRR1523659_2.fastq.gz"
"SRX660432","results/fastq/SRX660432_SRR1523660_1.fastq.gz","results/fastq/SRX660432_SRR1523660_2.fastq.gz","SRR1523660","SRX660432","SAMN02935356","SRS665431","PRJNA256013","SRP044766","SRA176431","GSM1444173_r1","GSM1444173","GSM1444173","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","8260893626","40895513","9606","Homo sapiens","4sU-RNA - 1-2 hpi Rep 1","Illumina HiSeq 2500 sequencing: GSM1444173: 4sU-RNA - 1-2 hpi Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","4sU-RNA - 1-2 hpi Rep 1","b9a719d123e1620b4751185981648f53;4d1db1bc3b7570ca97537237e5c8bb65","3217007663;3215028498","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1523660/SRR1523660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1523660/SRR1523660_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1523660/SRR1523660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1523660/SRR1523660_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/000/SRR1523660/SRR1523660_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/000/SRR1523660/SRR1523660_2.fastq.gz"
"SRX660433","results/fastq/SRX660433_SRR1523661_1.fastq.gz","results/fastq/SRX660433_SRR1523661_2.fastq.gz","SRR1523661","SRX660433","SAMN02935357","SRS665432","PRJNA256013","SRP044766","SRA176431","GSM1444174_r1","GSM1444174","GSM1444174","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","7763079574","38431087","9606","Homo sapiens","4sU-RNA - 2-3 hpi Rep 1","Illumina HiSeq 2500 sequencing: GSM1444174: 4sU-RNA - 2-3 hpi Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","4sU-RNA - 2-3 hpi Rep 1","307727cd07bec772febae5fa8005ad7d;e81ce15906be9f27fd2a51d118b1b183","3001598049;3003072791","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1523661/SRR1523661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1523661/SRR1523661_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1523661/SRR1523661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1523661/SRR1523661_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/001/SRR1523661/SRR1523661_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/001/SRR1523661/SRR1523661_2.fastq.gz"
"SRX660434","results/fastq/SRX660434_SRR1523662_1.fastq.gz","results/fastq/SRX660434_SRR1523662_2.fastq.gz","SRR1523662","SRX660434","SAMN02935358","SRS665433","PRJNA256013","SRP044766","SRA176431","GSM1444175_r1","GSM1444175","GSM1444175","GSE59717","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","7204430798","35665499","9606","Homo sapiens","4sU-RNA - 3-4 hpi Rep 1","Illumina HiSeq 2500 sequencing: GSM1444175: 4sU-RNA - 3-4 hpi Rep 1 Homo sapiens RNA-Seq","Wide-spread disruption of transcription termination in HSV-1 infection: Next generation sequencing of total and newly transcribed (4sU-RNA) RNA","4sU-RNA - 3-4 hpi Rep 1","b3c63d9afeacb1fb76a5938c65dec39c;add191885534dc98bd184fad54f9e99b","2779146579;2782355082","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1523662/SRR1523662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1523662/SRR1523662_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1523662/SRR1523662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1523662/SRR1523662_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/002/SRR1523662/SRR1523662_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR152/002/SRR1523662/SRR1523662_2.fastq.gz"
