"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX2733670","results/fastq/SRX2733670_SRR5444611_1.fastq.gz","results/fastq/SRX2733670_SRR5444611_2.fastq.gz","SRR5444611","SRX2733670","SAMN06711246","SRS2121567","PRJNA382632","SRP103821","SRA553982","GSM2575069_r1","GSM2575069","GSM2575069","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","4471898500","17887594","9606","Homo sapiens","MDM-418_H3N2_MOI0_03h_1","Illumina HiSeq 2500 sequencing: GSM2575069: MDM-418_H3N2_MOI0_03h_1 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI0_03h_1","33492d52fd29bb74f5d382c586806bc7;15890db86ba109d1fa96e07c18e75711","1099168263;1110772530","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/001/SRR5444611/SRR5444611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/001/SRR5444611/SRR5444611_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/001/SRR5444611/SRR5444611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/001/SRR5444611/SRR5444611_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/001/SRR5444611/SRR5444611_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/001/SRR5444611/SRR5444611_2.fastq.gz"
"SRX2733671","results/fastq/SRX2733671_SRR5444612_1.fastq.gz","results/fastq/SRX2733671_SRR5444612_2.fastq.gz","SRR5444612","SRX2733671","SAMN06711245","SRS2121572","PRJNA382632","SRP103821","SRA553982","GSM2575070_r1","GSM2575070","GSM2575070","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","4563369750","18253479","9606","Homo sapiens","MDM-418_H3N2_MOI0_03h_2","Illumina HiSeq 2500 sequencing: GSM2575070: MDM-418_H3N2_MOI0_03h_2 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI0_03h_2","3d3d1b66cc8ee94879d7ec0fb8e74502;81d33639bd8f21907d387ff7c7b89f6d","1104376420;1136610360","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/002/SRR5444612/SRR5444612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/002/SRR5444612/SRR5444612_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/002/SRR5444612/SRR5444612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/002/SRR5444612/SRR5444612_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/002/SRR5444612/SRR5444612_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/002/SRR5444612/SRR5444612_2.fastq.gz"
"SRX2733672","results/fastq/SRX2733672_SRR5444613_1.fastq.gz","results/fastq/SRX2733672_SRR5444613_2.fastq.gz","SRR5444613","SRX2733672","SAMN06711244","SRS2121569","PRJNA382632","SRP103821","SRA553982","GSM2575071_r1","GSM2575071","GSM2575071","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","4705929750","18823719","9606","Homo sapiens","MDM-418_H3N2_MOI2_03h_1","Illumina HiSeq 2500 sequencing: GSM2575071: MDM-418_H3N2_MOI2_03h_1 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI2_03h_1","425f3858140449014fe974d23b2372f4;dd1fa19b3dc0c67aa39ed5f9591b72cf","1137562176;1162907396","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/003/SRR5444613/SRR5444613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/003/SRR5444613/SRR5444613_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/003/SRR5444613/SRR5444613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/003/SRR5444613/SRR5444613_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/003/SRR5444613/SRR5444613_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/003/SRR5444613/SRR5444613_2.fastq.gz"
"SRX2733673","results/fastq/SRX2733673_SRR5444614_1.fastq.gz","results/fastq/SRX2733673_SRR5444614_2.fastq.gz","SRR5444614","SRX2733673","SAMN06711243","SRS2121575","PRJNA382632","SRP103821","SRA553982","GSM2575072_r1","GSM2575072","GSM2575072","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","5110829250","20443317","9606","Homo sapiens","MDM-418_H3N2_MOI2_03h_2","Illumina HiSeq 2500 sequencing: GSM2575072: MDM-418_H3N2_MOI2_03h_2 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI2_03h_2","2afcccd03341d7f9ea6f249fe7683720;1558b048873718f231bee845566a55f6","1231651915;1245719057","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/004/SRR5444614/SRR5444614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/004/SRR5444614/SRR5444614_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/004/SRR5444614/SRR5444614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/004/SRR5444614/SRR5444614_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/004/SRR5444614/SRR5444614_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/004/SRR5444614/SRR5444614_2.fastq.gz"
"SRX2733674","results/fastq/SRX2733674_SRR5444615_1.fastq.gz","results/fastq/SRX2733674_SRR5444615_2.fastq.gz","SRR5444615","SRX2733674","SAMN06711242","SRS2121577","PRJNA382632","SRP103821","SRA553982","GSM2575073_r1","GSM2575073","GSM2575073","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","5206825000","20827300","9606","Homo sapiens","MDM-418_H3N2_MOI0_06h_1","Illumina HiSeq 2500 sequencing: GSM2575073: MDM-418_H3N2_MOI0_06h_1 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI0_06h_1","01e955136649e334284c83e421394a1e;d033a9557f7290069001d9c43e0cb63c","1270189269;1240369352","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/005/SRR5444615/SRR5444615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/005/SRR5444615/SRR5444615_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/005/SRR5444615/SRR5444615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/005/SRR5444615/SRR5444615_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/005/SRR5444615/SRR5444615_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/005/SRR5444615/SRR5444615_2.fastq.gz"
"SRX2733675","results/fastq/SRX2733675_SRR5444616_1.fastq.gz","results/fastq/SRX2733675_SRR5444616_2.fastq.gz","SRR5444616","SRX2733675","SAMN06711241","SRS2121571","PRJNA382632","SRP103821","SRA553982","GSM2575074_r1","GSM2575074","GSM2575074","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","5390300000","21561200","9606","Homo sapiens","MDM-418_H3N2_MOI0_06h_2","Illumina HiSeq 2500 sequencing: GSM2575074: MDM-418_H3N2_MOI0_06h_2 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI0_06h_2","596d879b7ded8e4bf66e57852d5ae00f;1141130a7a6e9300a018a81f71cde0da","1302049200;1286931012","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/006/SRR5444616/SRR5444616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/006/SRR5444616/SRR5444616_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/006/SRR5444616/SRR5444616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/006/SRR5444616/SRR5444616_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/006/SRR5444616/SRR5444616_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/006/SRR5444616/SRR5444616_2.fastq.gz"
"SRX2733676","results/fastq/SRX2733676_SRR5444617_1.fastq.gz","results/fastq/SRX2733676_SRR5444617_2.fastq.gz","SRR5444617","SRX2733676","SAMN06711240","SRS2121570","PRJNA382632","SRP103821","SRA553982","GSM2575075_r1","GSM2575075","GSM2575075","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","7940847250","31763389","9606","Homo sapiens","MDM-418_H3N2_MOI2_06h_1","Illumina HiSeq 2500 sequencing: GSM2575075: MDM-418_H3N2_MOI2_06h_1 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI2_06h_1","ce5cefb75cb616c563f9abc0a6947652;b9157578a709be5af16d8cf358c594a4","1695252308;1645740453","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/007/SRR5444617/SRR5444617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/007/SRR5444617/SRR5444617_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/007/SRR5444617/SRR5444617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/007/SRR5444617/SRR5444617_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/007/SRR5444617/SRR5444617_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/007/SRR5444617/SRR5444617_2.fastq.gz"
"SRX2733677","results/fastq/SRX2733677_SRR5444618_1.fastq.gz","results/fastq/SRX2733677_SRR5444618_2.fastq.gz","SRR5444618","SRX2733677","SAMN06711239","SRS2121576","PRJNA382632","SRP103821","SRA553982","GSM2575076_r1","GSM2575076","GSM2575076","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","8789087000","35156348","9606","Homo sapiens","MDM-418_H3N2_MOI2_06h_2","Illumina HiSeq 2500 sequencing: GSM2575076: MDM-418_H3N2_MOI2_06h_2 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI2_06h_2","36eacc411833eb43cb387856dfc8bfbe;503989cf1b9903bfbb8a302c6bf6955b","1845199748;1792719351","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/008/SRR5444618/SRR5444618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/008/SRR5444618/SRR5444618_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/008/SRR5444618/SRR5444618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/008/SRR5444618/SRR5444618_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/008/SRR5444618/SRR5444618_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/008/SRR5444618/SRR5444618_2.fastq.gz"
"SRX2733678","results/fastq/SRX2733678_SRR5444619_1.fastq.gz","results/fastq/SRX2733678_SRR5444619_2.fastq.gz","SRR5444619","SRX2733678","SAMN06711238","SRS2121574","PRJNA382632","SRP103821","SRA553982","GSM2575077_r1","GSM2575077","GSM2575077","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","4229029250","16916117","9606","Homo sapiens","MDM-418_H3N2_MOI0_12h_1","Illumina HiSeq 2500 sequencing: GSM2575077: MDM-418_H3N2_MOI0_12h_1 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI0_12h_1","84be774bd180fe09056c2cabd927ba81;1248ed190f688db9f7d46151e0775f7a","1017938501;1032057422","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/009/SRR5444619/SRR5444619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/009/SRR5444619/SRR5444619_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/009/SRR5444619/SRR5444619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/009/SRR5444619/SRR5444619_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/009/SRR5444619/SRR5444619_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/009/SRR5444619/SRR5444619_2.fastq.gz"
"SRX2733679","results/fastq/SRX2733679_SRR5444620_1.fastq.gz","results/fastq/SRX2733679_SRR5444620_2.fastq.gz","SRR5444620","SRX2733679","SAMN06711237","SRS2121568","PRJNA382632","SRP103821","SRA553982","GSM2575078_r1","GSM2575078","GSM2575078","GSE97672","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","","Illumina HiSeq 2500","ILLUMINA","6678568500","26714274","9606","Homo sapiens","MDM-418_H3N2_MOI0_12h_2","Illumina HiSeq 2500 sequencing: GSM2575078: MDM-418_H3N2_MOI0_12h_2 Homo sapiens RNA-Seq","Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.","MDM-418_H3N2_MOI0_12h_2","428484dfd837da492deb479c1e034714;85867806d10fb43e366166df777d6a88","1608514576;1656521743","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/000/SRR5444620/SRR5444620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/000/SRR5444620/SRR5444620_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/000/SRR5444620/SRR5444620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR544/000/SRR5444620/SRR5444620_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/000/SRR5444620/SRR5444620_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR544/000/SRR5444620/SRR5444620_2.fastq.gz"
